,image,video_path,title,duration,views,date_posted
51,https://i.ytimg.com/vi/FLRvL69Xftc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLANGMiRa3hFdnxI_5RxfwPEAaE1WQ,/watch?v=FLRvL69Xftc,Better than Panda Express! Crispy Ginger Soy Fish 姜酱脆鱼 Chinese Stir Fry & Sweet & Sour Recipes,"
      6:55
    ",52K views,6 months ago
52,https://i.ytimg.com/vi/NqjxwY9ECMs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDVuy5IUT_BMabV3Kudt1caYf2Wmg,/watch?v=NqjxwY9ECMs,Extra Easy! Chinese Pork Belly w/ Preserved Vegetables 梅菜扣肉 Hakka Mei Cai Kou Rou • Stir Fry Recipe,"
      5:30
    ",34K views,6 months ago
53,https://i.ytimg.com/vi/fBQgCUYba1I/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBzRxAOqGivOsJjOciu5VHun7P4Jw,/watch?v=fBQgCUYba1I,One Dish Meal Recipe: Chinese Assorted Mushrooms w/ Eggs 双菇滑蛋 Chinese Mushroom Stir Fry,"
      3:48
    ",16K views,7 months ago
54,https://i.ytimg.com/vi/4IocWFqWTIo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBqK3wgPKLSC4uQesFQwKQJI0ed4Q,/watch?v=4IocWFqWTIo,The Easiest Rice Cooker Chinese Baked Chicken Recipe Ever! 电饭锅药材鸡 Light Herbal Taste • Super Tender!,"
      7:50
    ",51K views,7 months ago
55,https://i.ytimg.com/vi/ecjtHkimmXQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBZF9nUGUr-jcmBIbFd5RmUTHq6mg,/watch?v=ecjtHkimmXQ,One Dish Meal: Braised Minced Meat w/ Chinese Mushrooms & Long Beans 焖香菇肉碎炒长豆,"
      5:45
    ",37K views,7 months ago
56,https://i.ytimg.com/vi/Xv3vdqG9oG8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC9DNsUW3UJchKZm2COyXGj4Ni5XA,/watch?v=Xv3vdqG9oG8,Super Easy & Yummy Chicken Mushroom w/ Scallions 嫩滑多汁 香葱蘑菇鸡盖饭 The Best Chinese Chicken Bowl Recipe,"
      5:37
    ",94K views,7 months ago
57,https://i.ytimg.com/vi/DOTImW7hH0E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBXdk9GmnIW2Cs3wzBSqfbqdpGtaA,/watch?v=DOTImW7hH0E,Quick & Easy Stir Fry Recipe: Thai Basil Chicken 泰式九层塔炒鸡 Phat Kaphrao Gai | Super Easy!,"
      3:33
    ",29K views,7 months ago
58,https://i.ytimg.com/vi/TTs3yN2p1tI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC3UVOtNrflIoqFF_wsNe-w2RWirA,/watch?v=TTs3yN2p1tI,How to Cook Restaurant Style Thai Olive Fried Rice 泰式橄榄炒饭 Khao Phad Nahm Liap | Super Easy Recipe,"
      7:23
    ",15K views,7 months ago
59,https://i.ytimg.com/vi/2D0-1KHSCYU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDX_1PeF5ITj7riO7jkEP8-RAGZyA,/watch?v=2D0-1KHSCYU,Easiest Way to Stir Fry Chinese Mixed Vegetables | Chap Chye 快炒什锦菜 Stir Fry Vegetables Recipe,"
      3:20
    ",53K views,7 months ago
60,https://i.ytimg.com/vi/8yjLyjm-dE0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLApdNmCky7Agr0LSI2a63DgCdKdAg,/watch?v=8yjLyjm-dE0,Chinese Style Fragrant Crispy Garlic Pork Ribs Recipe 酥炸蒜香排骨 How to Cook Pork Ribs • Chinese Pork,"
      6:01
    ",35K views,7 months ago
61,https://i.ytimg.com/vi/1b6QWJjWAAg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBdF9C-DL8elPXl3CD3LoJq_uxltw,/watch?v=1b6QWJjWAAg,Easier than Sweet & Sour Pork • Tasty Honey Pork Recipe 蜜糖咕噜肉 Chinese Takeout Food,"
      5:02
    ",31K views,7 months ago
62,https://i.ytimg.com/vi/5k-3wTHLsVE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCb14kL5_ltEg-vIteGoh7gc4d6mg,/watch?v=5k-3wTHLsVE,Secret Recipe Revealed! The Ultimate Chinese Braised Pork Rib Recipe 红烧排骨 Perfectly Pressure Cooked,"
      8:19
    ",40K views,8 months ago
